districtNumber;districtName;orderList;name;age;votes;nomParty;minor
34;Západoèeskı;7;Krieger Miloslav;44;38;OK-PK;1
34;Západoèeskı;8;Štìpánovská Helena;39;28;OK-PK;1
34;Západoèeskı;9;Guhová Eva;48;17;OK-PK;1
34;Západoèeskı;10;Krèková Marie;42;29;OK-PK;1
34;Západoèeskı;11;Hobl Otakar;53;31;OK-PK;1
34;Západoèeskı;12;Tonèev Petr;49;21;OK-PK;1
34;Západoèeskı;13;Mozdík Karel;46;4;OK-PK;1
34;Západoèeskı;14;Králíková Ivana;35;23;OK-PK;1
34;Západoèeskı;15;Maòasová Miroslava;37;34;OK-PK;1
34;Západoèeskı;16;Hybeš Petr;26;22;OK-PK;1
34;Západoèeskı;17;Cholinskı Otakar;57;19;OK-PK;1
34;Západoèeskı;18;Hybeš Zdenìk;59;9;OK-PK;1
34;Západoèeskı;19;Matulay Jozef;55;18;OK-PK;1
34;Západoèeskı;20;Roubínek Miroslav;23;17;OK-PK;1
34;Západoèeskı;21;Machart Václav;27;10;OK-PK;1
34;Západoèeskı;22;Beneš Miloslav;75;9;OK-PK;1
34;Západoèeskı;23;Dragušinec Štìpán;52;11;OK-PK;1
35;Severoèeskı;1;Šindeláøová CSc Tatiana;40;97;OK-PK;1
35;Severoèeskı;2;Stranovskı Karel;42;59;OK-PK;1
35;Severoèeskı;3;Venzhöfer Otomar;60;45;OK-PK;1
35;Severoèeskı;4;Bošková Jana;40;49;OK-PK;1
35;Severoèeskı;5;Hrouda Rudolf;41;64;OK-PK;1
35;Severoèeskı;6;Šastnı Eduard;61;75;OK-PK;1
35;Severoèeskı;7;Puhal Jan;47;55;OK-PK;1
35;Severoèeskı;8;Kastner Dominik;32;38;OK-PK;1
35;Severoèeskı;9;Suchı Jiøí;36;44;OK-PK;1
35;Severoèeskı;10;Glanc Jan;45;32;OK-PK;1
35;Severoèeskı;11;Sedláèek Jiøí;40;69;OK-PK;1
35;Severoèeskı;12;Slavík Jindøich;46;18;OK-PK;1
35;Severoèeskı;13;Bartošová Eva;44;32;OK-PK;1
35;Severoèeskı;14;Toušek Martin;28;37;OK-PK;1
35;Severoèeskı;15;Müllerová Ivana;38;28;OK-PK;1
35;Severoèeskı;16;Pištìcká Miroslava;53;39;OK-PK;1
35;Severoèeskı;17;Mouèková Nadìda;43;21;OK-PK;1
35;Severoèeskı;18;Zavadilová Alena;39;24;OK-PK;1
35;Severoèeskı;19;Adášek Jaroslav;49;8;OK-PK;1
35;Severoèeskı;20;Puchıø Vladimír;56;14;OK-PK;1
35;Severoèeskı;21;Sekyra Jiøí;48;15;OK-PK;1
35;Severoèeskı;22;Kubešová Marcela;38;17;OK-PK;1
35;Severoèeskı;23;Kastnerová Charlotte;31;16;OK-PK;1
35;Severoèeskı;24;Láska Jan;40;14;OK-PK;1
35;Severoèeskı;25;Moravec Bedøich;44;21;OK-PK;1
35;Severoèeskı;26;Zdvoøák Milan;26;22;OK-PK;1
35;Severoèeskı;27;Machová Helena;45;15;OK-PK;1
35;Severoèeskı;28;Novotnı Miroslav;41;25;OK-PK;1
35;Severoèeskı;29;Stejskalová Alena;43;14;OK-PK;1
35;Severoèeskı;30;Vondráèek Karel;68;5;OK-PK;1
35;Severoèeskı;31;Kébrtová Kateøina;36;19;OK-PK;1
35;Severoèeskı;32;Vaníèek Kvìtoslav;40;4;OK-PK;1
35;Severoèeskı;33;Klatovskı Jiøí;49;7;OK-PK;1
35;Severoèeskı;34;Plívová Jana;23;19;OK-PK;1
35;Severoèeskı;35;Zikmundová Marie;50;13;OK-PK;1
36;Vıchodoèeskı;1;Fridrich Jan;44;43;OK-PK;1
36;Vıchodoèeskı;2;Khom Viktor;53;54;OK-PK;1
36;Vıchodoèeskı;3;Tomsa Josef;68;72;OK-PK;1
36;Vıchodoèeskı;4;Petira Jan;51;72;OK-PK;1
36;Vıchodoèeskı;6;Šimek Antonín;63;14;OK-PK;1
36;Vıchodoèeskı;7;Velièková Olga;47;34;OK-PK;1
36;Vıchodoèeskı;8;Hák Richard;55;57;OK-PK;1
36;Vıchodoèeskı;9;Èapek Miloslav;39;37;OK-PK;1
36;Vıchodoèeskı;10;Bezák Jiøí;38;25;OK-PK;1
36;Vıchodoèeskı;11;Pastrnek Rudolf;53;49;OK-PK;1
36;Vıchodoèeskı;12;Koláøová Pavla;32;32;OK-PK;1
36;Vıchodoèeskı;13;Král Pavel;33;20;OK-PK;1
36;Vıchodoèeskı;14;Hejtman Jan;44;35;OK-PK;1
36;Vıchodoèeskı;15;Øepová Jana;51;22;OK-PK;1
36;Vıchodoèeskı;16;Pultar Jiøí;43;38;OK-PK;1
36;Vıchodoèeskı;17;Vernerová Vìra;53;25;OK-PK;1
36;Vıchodoèeskı;18;Matyska Miroslav;35;22;OK-PK;1
36;Vıchodoèeskı;19;Macáková Iva;46;24;OK-PK;1
36;Vıchodoèeskı;20;Hojnı Václav;34;22;OK-PK;1
36;Vıchodoèeskı;21;Málek František;61;17;OK-PK;1
36;Vıchodoèeskı;22;Komárek Jan;30;16;OK-PK;1
37;Jihomoravskı;1;Wokoun René;44;70;OK-PK;1
37;Jihomoravskı;2;Skoèovskı Miloš;61;34;OK-PK;1
37;Jihomoravskı;3;Svítil Karel;57;23;OK-PK;1
37;Jihomoravskı;4;Urbanová Yvonne;49;41;OK-PK;1
37;Jihomoravskı;5;Vláèil Jan;68;15;OK-PK;1
37;Jihomoravskı;6;Hrubá Zdeòka;45;54;OK-PK;1
37;Jihomoravskı;7;Wittichová Marie;56;28;OK-PK;1
37;Jihomoravskı;8;Talaš Pavel;52;44;OK-PK;1
37;Jihomoravskı;9;Vyplel Petr;41;26;OK-PK;1
37;Jihomoravskı;10;Køiková Lydie;46;48;OK-PK;1
37;Jihomoravskı;11;eleznı Petr;46;9;OK-PK;1
37;Jihomoravskı;12;Dvoøáèek Ivan;47;4;OK-PK;1
37;Jihomoravskı;13;Ludwig Petr;29;23;OK-PK;1
37;Jihomoravskı;14;Èáslava Zdenìk;38;14;OK-PK;1
37;Jihomoravskı;15;Kotvrdová Kateøina;22;23;OK-PK;1
37;Jihomoravskı;16;Kryèerová Ladislava;34;10;OK-PK;1
37;Jihomoravskı;17;Fux František;41;18;OK-PK;1
37;Jihomoravskı;19;Chromec David;24;9;OK-PK;1
37;Jihomoravskı;20;Fojtíková Zuzana;35;7;OK-PK;1
37;Jihomoravskı;21;Knesl František;60;10;OK-PK;1
37;Jihomoravskı;22;Prokš Pavel;37;11;OK-PK;1
37;Jihomoravskı;23;Saiss Rudolf;32;9;OK-PK;1
37;Jihomoravskı;24;Urbanovskı Ladislav;46;16;OK-PK;1
37;Jihomoravskı;25;Opálková Hana;30;20;OK-PK;1
37;Jihomoravskı;26;Dosoudil Jiøí;32;7;OK-PK;1
37;Jihomoravskı;27;Šándorová Eva;61;2;OK-PK;1
37;Jihomoravskı;28;Horáková Pavla;50;16;OK-PK;1
37;Jihomoravskı;29;Novák David;24;6;OK-PK;1
37;Jihomoravskı;30;Novotná Ivana;43;12;OK-PK;1
37;Jihomoravskı;31;Krejèíøová Miloslava;44;4;OK-PK;1
37;Jihomoravskı;32;Hrubı Jiøí;39;7;OK-PK;1
37;Jihomoravskı;33;Utìšená Helena;51;2;OK-PK;1
37;Jihomoravskı;34;Petrelka Roman;28;8;OK-PK;1
37;Jihomoravskı;35;Skalníková Dagmar;51;7;OK-PK;1
37;Jihomoravskı;36;Dvoøáková Jitka;29;6;OK-PK;1
37;Jihomoravskı;37;Laky Jindøich;42;27;OK-PK;1
37;Jihomoravskı;38;Debef Zdenìk;52;9;OK-PK;1
37;Jihomoravskı;39;Štouraèová Hana;34;5;OK-PK;1
37;Jihomoravskı;40;Ševèík Stanislav;32;9;OK-PK;1
37;Jihomoravskı;41;Franta Marek;22;10;OK-PK;1
37;Jihomoravskı;42;Beránek Zdenìk;52;5;OK-PK;1
37;Jihomoravskı;43;Dolealová Vlasta;37;2;OK-PK;1
37;Jihomoravskı;44;Hladùvka Zdenìk;27;9;OK-PK;1
37;Jihomoravskı;45;Šándor Luboš;43;0;OK-PK;1
37;Jihomoravskı;46;Poznecká Boena;55;10;OK-PK;1
37;Jihomoravskı;47;Kroèil Pavel;33;7;OK-PK;1
37;Jihomoravskı;48;Fialová Dana;39;1;OK-PK;1
37;Jihomoravskı;49;Procházková Jana;35;11;OK-PK;1
38;Severomoravskı;1;Macura Karel;51;113;OK-PK;1
38;Severomoravskı;2;Kaèer Jan;61;389;OK-PK;1
38;Severomoravskı;3;Plecháèek Aleš;40;62;OK-PK;1
38;Severomoravskı;4;Ryba Milan;46;79;OK-PK;1
