districtNumber;districtName;orderList;name;age;nomParty;membParty;votes;votesShare
3;Jihoèeskı;10;Kováø Karel;26;LEV 21;LEV 21;5;2,76
3;Jihoèeskı;11;Kukaèka Vladislav;29;LEV 21;LEV 21;10;5,52
3;Jihoèeskı;12;Pokornı Pavel;47;LEV 21;LEV 21;3;1,65
3;Jihoèeskı;13;Svoboda Eduard;64;LEV 21;BEZPP;3;1,65
3;Jihoèeskı;14;Havlíèková Lucie;31;LEV 21;BEZPP;4;2,2
3;Jihoèeskı;15;Švecová Aneta;29;LEV 21;BEZPP;4;2,2
3;Jihoèeskı;16;Halaèka Vladimír;72;LEV 21;BEZPP;2;1,1
3;Jihoèeskı;17;Koubková Dana;55;LEV 21;BEZPP;0;0
3;Jihoèeskı;18;Švec Zdenìk;29;LEV 21;BEZPP;7;3,86
3;Jihoèeskı;19;Havel Jan;62;LEV 21;LEV 21;2;1,1
3;Jihoèeskı;20;Marková Anna;76;LEV 21;BEZPP;3;1,65
3;Jihoèeskı;21;Marek František;76;LEV 21;BEZPP;3;1,65
3;Jihoèeskı;22;Mrvík Ladislav;29;LEV 21;BEZPP;1;0,55
4;Plzeòskı;1;Šterzl Ivan;59;LEV 21;LEV 21;32;9,22
4;Plzeòskı;2;Janoušek Jiøí;50;LEV 21;LEV 21;20;5,76
4;Plzeòskı;3;Fejfar Jiøí;56;LEV 21;LEV 21;28;8,06
4;Plzeòskı;4;André Roman;43;LEV 21;LEV 21;17;4,89
4;Plzeòskı;5;Kadlec Jan;54;LEV 21;LEV 21;11;3,17
4;Plzeòskı;6;Eretová Jiøina;62;LEV 21;BEZPP;20;5,76
4;Plzeòskı;7;Ihnátová Anna;53;LEV 21;LEV 21;7;2,01
4;Plzeòskı;8;Hrubá Radka;44;LEV 21;BEZPP;5;1,44
4;Plzeòskı;9;Polívka Karel;37;LEV 21;LEV 21;7;2,01
4;Plzeòskı;10;Horèièka Tomáš;28;LEV 21;LEV 21;4;1,15
4;Plzeòskı;11;Kynclová Václava;26;LEV 21;LEV 21;4;1,15
4;Plzeòskı;12;Kraft Pavel;42;LEV 21;LEV 21;4;1,15
4;Plzeòskı;13;Marešová Michéle;36;LEV 21;BEZPP;3;0,86
4;Plzeòskı;14;Havel Jan;46;LEV 21;BEZPP;5;1,44
4;Plzeòskı;15;Kadlec Jan;28;LEV 21;BEZPP;12;3,45
4;Plzeòskı;16;Zídek Miloš;45;LEV 21;BEZPP;3;0,86
4;Plzeòskı;17;Macourková Jaroslava;43;LEV 21;BEZPP;5;1,44
4;Plzeòskı;18;Mitošinka Peter;36;LEV 21;LEV 21;3;0,86
4;Plzeòskı;19;Riè Václav;38;LEV 21;BEZPP;4;1,15
4;Plzeòskı;20;Salcman Václav;22;LEV 21;LEV 21;7;2,01
5;Karlovarskı;1;Hybner Tomáš;41;LEV 21;LEV 21;32;15,68
5;Karlovarskı;2;Demèák Stanislav;46;LEV 21;LEV 21;15;7,35
5;Karlovarskı;3;Karafiát Jan;35;LEV 21;LEV 21;16;7,84
5;Karlovarskı;4;Broovskı Miroslav;37;LEV 21;LEV 21;9;4,41
5;Karlovarskı;5;Pivoòka Jiøí;58;LEV 21;LEV 21;32;15,68
5;Karlovarskı;6;Petøíková Jana;55;LEV 21;LEV 21;17;8,33
5;Karlovarskı;7;Molec Milan;52;LEV 21;LEV 21;11;5,39
5;Karlovarskı;8;Nìmec Arnošt;48;LEV 21;LEV 21;6;2,94
5;Karlovarskı;9;Cervan David;44;LEV 21;LEV 21;10;4,9
5;Karlovarskı;10;Kuliš Petr;61;LEV 21;LEV 21;4;1,96
5;Karlovarskı;11;Fomenko Vladimír;62;LEV 21;LEV 21;6;2,94
5;Karlovarskı;12;Straka Roman;45;LEV 21;LEV 21;9;4,41
5;Karlovarskı;13;Zouharová Blanka;49;LEV 21;LEV 21;8;3,92
5;Karlovarskı;14;Walter Aleš;63;LEV 21;LEV 21;8;3,92
6;Ústeckı;1;Benda Petr;42;LEV 21;LEV 21;30;6,35
6;Ústeckı;2;Vrbová Blanka;34;LEV 21;LEV 21;13;2,75
6;Ústeckı;3;Kasal Michal;42;LEV 21;LEV 21;21;4,44
6;Ústeckı;4;Štván František;57;LEV 21;LEV 21;12;2,54
6;Ústeckı;5;Šlégr Jiøí;42;LEV 21;LEV 21;59;12,5
