districtNumber;districtName;orderList;name;age;nomParty;membParty;votes;votesShare;minor
12;Olomouckı;22;Dudík Karel;45;KDU-ÈSL;KDU-ÈSL;126;0,45;0
12;Olomouckı;23;Dvoøák Petr;40;KDU-ÈSL;KDU-ÈSL;61;0,22;0
13;Zlínskı;1;Šojdrová Michaela;42;KDU-ÈSL;KDU-ÈSL;5 817;13,96;0
13;Zlínskı;2;Hovorka Ludvík;42;KDU-ÈSL;KDU-ÈSL;2 821;6,77;0
13;Zlínskı;3;Mikušek Václav;59;KDU-ÈSL;KDU-ÈSL;2 100;5,04;0
13;Zlínskı;4;Škopík Jan;60;KDU-ÈSL;KDU-ÈSL;1 537;3,68;0
13;Zlínskı;5;Studeník Pavel;45;KDU-ÈSL;KDU-ÈSL;1 007;2,41;0
13;Zlínskı;6;Benešík Ondøej;29;KDU-ÈSL;KDU-ÈSL;1 054;2,52;0
13;Zlínskı;7;Hrnèiøíková Marie;53;KDU-ÈSL;KDU-ÈSL;837;2;0
13;Zlínskı;8;Slavík František;54;KDU-ÈSL;KDU-ÈSL;1 056;2,53;0
13;Zlínskı;9;Hradeckı Petr;43;KDU-ÈSL;KDU-ÈSL;526;1,26;0
13;Zlínskı;10;Vlèková Marie;44;KDU-ÈSL;KDU-ÈSL;585;1,4;0
13;Zlínskı;11;Kopøiva Jaromír;44;KDU-ÈSL;KDU-ÈSL;406;0,97;0
13;Zlínskı;12;Tomaštík Marek;33;KDU-ÈSL;KDU-ÈSL;322;0,77;0
13;Zlínskı;13;Botek Pavel;34;KDU-ÈSL;KDU-ÈSL;364;0,87;0
13;Zlínskı;14;Jelínková Šárka;38;KDU-ÈSL;KDU-ÈSL;525;1,26;0
13;Zlínskı;15;Ryza Vojtìch;34;KDU-ÈSL;KDU-ÈSL;713;1,71;0
13;Zlínskı;16;Kotrady Pavel;26;KDU-ÈSL;KDU-ÈSL;365;0,87;0
13;Zlínskı;17;Maliòák Štìpán;44;KDU-ÈSL;KDU-ÈSL;562;1,34;0
