nomPartyNumber,nomParty,listOrder,name1,name2,acadTitle,age,occupation,residency,valid
4,SD¼,23,Peter,Tököly,,33,vedúci skladu,Bratislava,1
4,SD¼,24,Miroslava,Šuttová,Ing.,58,dôchodkyòa,Bratislava,1
4,SD¼,25,Dušan,Koneènı,,34,súkromnı podnikate¾,Bratislava,1
4,SD¼,26,René,Foltın,,34,manaér,Suchá nad Parnou,1
4,SD¼,27,Tomáš,Tóth,Mgr.,28,advokátsky koncipient,Bratislava,1
4,SD¼,28,Gabriel,Horváth,Mgr.,30,manaér,Komárno,1
4,SD¼,29,Františka,Sagová,Ing.,56,ivnostník,Bratislava,1
5,ZRS,1,Ján,¼upták,,60,stavebnı technik,Banská Bystrica,1
5,ZRS,2,Ivan,Hopta,PhDr. CSc.,47,poslanec NR SR,Humenné,1
5,ZRS,3,Ján,Pivoluska,,48,odbornı referent,Banská Bystrica,1
5,ZRS,4,Milan,Trník,,42,elektrotechnik,Púchov,1
5,ZRS,5,Jozef,Baèa,,50,stavebnı technik,Šarišské Èierne,1
5,ZRS,6,Mária,Hrušková,,55,invalidná dôchodkyòa,Zvolen,1
5,ZRS,7,Pavel,Chovanec,Ing.,54,leteckı ininier a manaér,Slatinské Lazy,1
5,ZRS,8,Ján,Margala,,53,dozorca rušòového depa,Nové Mesto nad Váhom,1
5,ZRS,9,Pavol,Kopèák,Ing.,52,pracovník školstva,Prešov,1
5,ZRS,10,František,Chachula,,57,hlavnı inšpektor,Plevník - Drienové,1
5,ZRS,11,Miloslava,Necpalová,,51,novinárka,Bratislava,1
5,ZRS,12,Ján,Huan,,52,robotník,Revúca,1
5,ZRS,13,Jozef,Sekáè,,51,vlakvedúci osobnej dopravy,Trebišov,1
5,ZRS,14,Dušan,Saksa,Mgr.,52,uèite¾,Ladce,1
5,ZRS,15,Martin,Jochman,Ing.,62,ivnostník,Spišská Nová Ves,1
5,ZRS,16,Pavol,Èuma,,55,ivnostník - poiarnobezpeènostné sluby,Vranov nad Top¾ou,1
5,ZRS,17,Stanislav,Lepót,doc. Ing. CSc.,61,pedagóg,Pavlovce nad Uhom,1
5,ZRS,18,Rudolf,Martanèík,JUDr. Mgr.,60,právnik,Bratislava,1
5,ZRS,19,Peter,Jurèišin,,68,dôchodca,Svidník,1
5,ZRS,20,Ladislav,Chvosta¾,Bc.,51,technik,Michalovce,1
5,ZRS,21,Dušan,Hanka,Bc.,45,ošetrovate¾,Zvolen,1
5,ZRS,22,Vladimír,Hric,,53,baník,Vyšná Slaná,1
5,ZRS,23,Štefan,Elizeuš,Ing.,54,vedecko - technickı pracovník,Skároš,1
5,ZRS,24,Jana,Nirházová,,47,predavaèka,Kraskovo,1
5,ZRS,25,Ján,Durkota,Ing.,52,lesnı ininier,Trebišov,1
5,ZRS,26,Peter,Uhrík,,57,technik,Banská Bystrica,1
5,ZRS,27,Fedor,Šandor,MUDr.,56,lekár,Humenné,1
5,ZRS,28,¼ubomír,Feèík,,48,robotník,Snina,1
5,ZRS,29,Iveta,Šulíková,PaedDr.,47,uèite¾ka,Sabinov,1
5,ZRS,30,Jaroslav,Završan,,48,robotník,Raková,1
5,ZRS,31,Ladislav,Mokrı,,43,technik,Trstená,1
5,ZRS,32,Jaroslav,Rojík,PaedDr. Mgr.,43,pedagóg,Luèenec,1
5,ZRS,33,Michal,Pavleèko,Ing.,51,prednosta elezniènej stanice,Vranov nad Top¾ou,1
5,ZRS,34,Jana,Fecurová,,51,riadite¾ka materskej škôlky,Humenné,1
5,ZRS,35,Viola,Chachulová,Ing.,55,ekologièka,ilina,1
5,ZRS,36,Peter,Miticzky,,61,dôchodca,Luèenec,1
5,ZRS,37,Tibor,Štric,,58,vodiè autobusov,Banská Štiavnica,1
5,ZRS,38,Štefan,Šereg,,53,vedúci pohostinstva,Sukov,1
5,ZRS,39,Jozef,Rybár,,57,zamestnanec krajského úradu,Bratislava,1
5,ZRS,40,Erika,Skubíková,,49,vedúca predajne,Liptovskı Mikuláš,1
5,ZRS,41,Ján,Rudinskı,,49,robotník,Rybník,1
