;again;party1;party2;mp;loyal
265;Gajdáèek Petr;LB (KSÈM);KSÈM;0;0
266;Hoš Vladimír;LB (KSÈM);KSÈM;0;0
267;Bureš Eduard;ODS;ODS;1;1
268;Klíma Jiøí;ODS;ODS;0;1
269;Tlustý Vlastimil;ODS;ODS;1;1
270;Èerný Jan;ODS;ODS;1;1
271;Benda Marek;ODS;ODS;1;1
272;Koucký Jan;ODS;ODS;1;1
273;Krása Václav;ODS;ODS;1;1
274;Klas Jan;ODS;ODS;1;1
275;Lobkowicz Michal;ODS;ODS;1;1
276;Trojan Václav;ODS;ODS;1;1
277;Pešek Pavel;ODS;ODS;1;1
278;Bejlek Jan;ODS;ODS;0;1
279;Valut František;ODS;ODS;0;1
280;Röschová Anna;ODS;ODS;1;1
281;Peèenka Antonín;ODS;ODS;0;1
282;Èermák Petr;ODS;ODS;1;1
283;Haringer Jiøí;ODS;KDU-ÈSL;1;0
284;Mandelík Richard;ODS;ODS;1;1
285;Melichar Jaroslav;ODS;ODS;1;1
286;Brodský Karel;ODS;ODS;0;1
287;Kozel František;ODS;ODS;1;1
288;Lukáš Vìnceslav;ODS;KDU-ÈSL;1;0
289;Honajzer Jiøí;ODS;ODS;1;1
290;Tollner Pavel;ODS;KDU-ÈSL;1;0
291;Fejfar Tomáš;ODS;ODS;1;1
292;Syka Martin;ODS;ODS;1;1
293;Koláø Robert;ODS;ODS;1;1
294;Zahradníèek Jan;ODS;KDU-ÈSL;1;0
295;Matysková Vìra;ODS;ODS;0;1
296;Nejezchleb Karel;ODS;ODS;0;1
297;Tomek Jiøí;ODS;ODS;0;1
298;Baøinka Vlastimil;ODS;ODS;0;1
299;Novák Jiøí;ODS;ODS;1;1
300;Pavlíková Jiøina;ODS;ODS;1;1
301;Ullmann Josef;ODS;ODS;1;1
302;Mašek Ivan;ODA;ODA;1;1
303;Špaèek Radim;ODA;ODA;1;1
304;Kalvoda Jan;ODA;ODA;1;1
305;Vondrouš Jan;ODA;ODA;0;1
306;Troup Zdenìk;ODA;ODA;0;1
307;Kotek Jiøí;ODA;ODA;0;1
308;Michálek Martin;ODA;ODA;0;1
309;Èerný Milan;ODA;SPR-RSÈ;0;0
310;Dolejší Stanislava;ODA;ODA;0;1
311;Bakalíková Lýdie;ODA;ODA;0;1
312;Èerná Milada;ODA;ODA;0;1
313;Hofhanzl Èestmír;ODA;ODA;1;1
314;Veleba Lubor;ODA;ODA;0;1
315;Studený Miroslav;ODA;ODA;0;1
316;Kyselý Josef;ODA;ODA;0;1
317;Machovec Karel;ÈSSD;ÈSSD;0;1
