;again;party1;party2;mp;loyal
216;Branèík Jaromír;ÈSSD;ÈSSD;0;1
217;Pavlík Zdenìk;ÈSSD;ÈSSD;0;1
218;Gabrhel Vlastimil;ÈSSD;ÈSSD;0;1
219;Váòa Roman;ÈSSD;ÈSSD;1;1
220;Zemánek Jiøí;ÈSSD;ÈSSD;1;1
221;Holík Pavel;ÈSSD;ÈSSD;1;1
222;Pøichystal Jan;ÈSSD;ÈSSD;0;1
223;Šoltys Pavel;ÈSSD;ÈSSD;0;1
224;Smetana Pavel;ÈSSD;ÈSSD;0;1
225;Weberová Hedvika;ÈSSD;ÈSSD;0;1
226;Smıkal Josef;ÈSSD;ÈSSD;1;1
227;Seïa Antonín;ÈSSD;ÈSSD;1;1
228;Strnadlová Miroslava;ÈSSD;ÈSSD;1;1
229;Rumplík Zdenìk;ÈSSD;ÈSSD;0;1
230;Fuksová Vìra;ÈSSD;ÈSSD;0;1
231;Uherka Jan;ÈSSD;ÈSSD;0;1
232;Sedláèek Dalibor;ÈSSD;ÈSSD;0;1
233;Petrù Pavel;ÈSSD;ÈSSD;0;1
234;Váhalová Dana;ÈSSD;ÈSSD;1;1
235;Velebnı Ladislav;ÈSSD;ÈSSD;1;1
236;Kala Jaroslav;ÈSSD;ÈSSD;0;1
237;Štekbauer Jaroslav;ÈSSD;ÈSSD;0;1
238;Rudol David;ÈSSD;ÈSSD;0;1
239;Pohludka Antonín;ÈSSD;ÈSSD;0;1
240;Strnad Pavel;M;SPOZ;0;0
241;Ingr Tomáš;M;Úsvit;0;0
242;Èervenı František;M;LEV 21;0;0
243;Kroh Michael;SPOZ;SPOZ;0;1
244;Brettl Vojtìch;SPOZ;SPOZ;0;1
245;Abt Jaroslav;SPOZ;SPOZ;0;1
246;Moudrá Irena;SPOZ;SPOZ;0;1
247;Koukolová Kvítková Dana;SPOZ;SPOZ;0;1
248;Zeman Eduard;SPOZ;SPOZ;0;1
249;Martan Petr;SPOZ;SPOZ;0;1
250;Kozlerová Vlasta;SPOZ;SPOZ;0;1
251;Lébr Josef;SPOZ;SPOZ;0;1
252;Pokornı Ivan;SPOZ;SPOZ;0;1
253;Doubková Petra;SPOZ;SPOZ;0;1
254;Masopust Jaroslav;SPOZ;SPOZ;0;1
255;Stru Jan;SPOZ;SPOZ;0;1
