X.U.FEFF.again,party1,party2,order1,order2,change,minor,loyal,improveParty,improveParty2,improvePosition,origPartyDissolved,year1,minorMajor,minorMinor,majorMajor,majorMinor
Marcela Pčolinská,SDK,KDH,107,18,-89,0,0,0,1,1,1,1998,0,0,1,0
Ondrej Dostál,SDK,OKS,117,5,-112,0,0,0,1,1,1,1998,0,0,0,1
Zita Pleštinská,SDK,SDKÚ,119,51,-68,0,0,0,1,1,1,1998,0,0,1,0
Tibor Tóth,SDK,SDKÚ,132,27,-105,0,0,0,1,1,1,1998,0,0,1,0
Rastislav Blaško,SDK,SDĽ,135,23,-112,0,0,0,1,1,1,1998,0,0,0,1
Mária Jesenková,SDK,KDH,136,104,-32,0,0,0,1,1,1,1998,0,0,1,0
Jozef Hladík,SDK,KDH,142,44,-98,0,0,0,1,1,1,1998,0,0,1,0
Martin Fronc,SDK,KDH,24,8,-16,0,0,0,1,1,0,1998,0,0,1,0
Ján Odzgan,SDK,SDKÚ,112,36,-76,0,0,0,1,1,0,1998,0,0,1,0
Jozef Migaš,SDĽ,SDĽ,1,5,4,0,1,0,0,0,0,1998,0,0,0,1
Peter Weiss,SDĽ,SDA,5,1,-4,0,0,0,1,1,0,1998,0,0,0,1
Ľubomír Fogaš,SDĽ,SDĽ,6,3,-3,0,1,0,0,1,0,1998,0,0,0,1
Milan Ftáčnik,SDĽ,SDA,8,2,-6,0,0,0,1,1,0,1998,0,0,0,1
Marian Antecký,SDĽ,SDĽ,11,17,6,0,1,0,0,0,0,1998,0,0,0,1
Mária Angelovičová,SDĽ,SDĽ,12,14,2,0,1,0,0,0,0,1998,0,0,0,1
Štefan Rusnák,SDĽ,SDĽ,14,20,6,0,1,0,0,0,0,1998,0,0,0,1
Ladislav Orosz,SDĽ,SDA,15,7,-8,0,0,0,1,1,0,1998,0,0,0,1
Stanislav Bartoš,SDĽ,SDĽ,20,26,6,0,1,0,0,0,0,1998,0,0,0,1
Peter Bohunický,SDĽ,SDĽ,21,18,-3,0,1,0,0,1,0,1998,0,0,0,1
Jana Halušková,SDĽ,SDĽ,24,90,66,0,1,0,0,0,0,1998,0,0,0,1
Imrich Tóth,SDĽ,SDĽ,25,59,34,0,1,0,0,0,0,1998,0,0,0,1
Ľubomír Andrassy,SDĽ,SDĽ,27,4,-23,0,1,0,0,1,0,1998,0,0,0,1
Anton Hoffmann,SDĽ,SDĽ,29,19,-10,0,1,0,0,1,0,1998,0,0,0,1
Ľubomír Dzurák,SDĽ,SDĽ,30,11,-19,0,1,0,0,1,0,1998,0,0,0,1
Tibor Matuška,SDĽ,SDĽ,31,37,6,0,1,0,0,0,0,1998,0,0,0,1
Dalibor Surkoš,SDĽ,SDA,34,122,88,0,0,0,1,0,0,1998,0,0,0,1
Dominik Gahér,SDĽ,SDĽ,39,89,50,0,1,0,0,0,0,1998,0,0,0,1
Margita Adamčíková,SDĽ,SDA,44,13,-31,0,0,0,1,1,0,1998,0,0,0,1
Vincent Timko,SDĽ,SDA,52,17,-35,0,0,0,1,1,0,1998,0,0,0,1
Ján Kišš,SDĽ,SDA,55,18,-37,0,0,0,1,1,0,1998,0,0,0,1
Ján Weis,SDĽ,SDĽ,56,27,-29,0,1,0,0,1,0,1998,0,0,0,1
Miroslav Klč,SDĽ,SDĽ,66,60,-6,0,1,0,0,1,0,1998,0,0,0,1
Anna Ťureková,SDĽ,SDĽ,86,122,36,0,1,0,0,0,0,1998,0,0,0,1
Roman Kopka,SDĽ,SDĽ,89,36,-53,0,1,0,0,1,0,1998,0,0,0,1
Vladimír Vranovič,SDĽ,HZD,90,6,-84,0,0,0,1,1,0,1998,0,0,0,1
Michal Kopka,SDĽ,SDA,92,25,-67,0,0,0,1,1,0,1998,0,0,0,1
Ján Polák,SDĽ,SDA,105,14,-91,0,0,0,1,1,0,1998,0,0,0,1
Benjamín Bančej,SDĽ,SDĽ,108,34,-74,0,1,0,0,1,0,1998,0,0,0,1
Štefan Adamec,SDĽ,SDĽ,111,126,15,0,1,0,0,0,0,1998,0,0,0,1
Emília Blahútová,SDĽ,SDA,117,52,-65,0,0,0,1,1,0,1998,0,0,0,1
František Jedinák,SDĽ,SDĽ,120,68,-52,0,1,0,0,1,0,1998,0,0,0,1
Jozef Cech,SDĽ,SDĽ,127,58,-69,0,1,0,0,1,0,1998,0,0,0,1
Ľudmila Lysinová,SDĽ,SDĽ,132,12,-120,0,1,0,0,1,0,1998,0,0,0,1
Ján Franko,SDĽ,SDĽ,140,123,-17,0,1,0,0,1,0,1998,0,0,0,1
Janka Drobová,SDĽ,SDĽ,142,43,-99,0,1,0,0,1,0,1998,0,0,0,1
Pavel Koncoš,SDĽ,SDĽ,13,1,-12,0,1,0,0,1,0,1998,0,0,0,1
Štefan Sopóci,SDĽ,SDĽ,69,53,-16,0,1,0,0,1,0,1998,0,0,0,1
Robert Fico,SDĽ,SMER,3,1,-2,0,0,1,1,1,0,1998,0,0,1,0
Andrej Trnovec,SĽS,SNS,5,14,9,1,0,1,0,0,1,1998,0,1,0,0
Ernest Pápay,SĽS,SNJ,6,10,4,1,0,0,1,0,1,1998,0,1,0,0
Michal Števko,SĽS,SNS,33,89,56,1,0,1,1,0,1,1998,0,1,0,0
Viliam Zopp,SĽS,SNS,36,87,51,1,0,1,1,0,1,1998,0,1,0,0
Béla Bugár,SMK-MKP,SMK-MKP,1,1,0,0,1,1,0,1,0,1998,0,0,1,0
Miklós Duray,SMK-MKP,SMK-MKP,2,9,7,0,1,1,0,0,0,1998,0,0,1,0
László Nagy,SMK-MKP,SMK-MKP,3,8,5,0,1,1,0,0,0,1998,0,0,1,0
Pál Csáky,SMK-MKP,SMK-MKP,4,2,-2,0,1,1,0,1,0,1998,0,0,1,0
