;X;again;party1;party2;order1;order2;change;minor;loyal;improveParty;improveParty2;improvePosition;origPartyDissolved;year1;minorMajor;minorMinor;majorMajor;majorMinor;switch;new2;switchMiMa;switchMiMi;switchMaMa;switchMaMi;mp
88;88;P·l Farkas;MK;SMK;5;6;1;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;1
89;89;Gyula B·rdos;MK;SMK;7;8;1;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;1
90;90;JÛzsef Kvarda;MK;SMK;10;12;2;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;1
91;91;Istv·n Harna;MK;SMK;13;9;-4;0;0;NA;NA;1;NA;1994;0;0;1;0;1;1;0;0;1;0;0
92;92;Kl·ra S·rkˆzy;MK;SMK;14;21;7;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
93;93;J·nos FÛthy;MK;SMK;16;56;40;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
94;94;L·szlÛ HÛka;MK;SMK;18;15;-3;0;0;NA;NA;1;NA;1994;0;0;1;0;1;1;0;0;1;0;0
95;95;L·szlÛ Szigeti;MK;SMK;22;11;-11;0;0;NA;NA;1;NA;1994;0;0;1;0;1;1;0;0;1;0;1
96;96;Lajos MÈsz·ros;MK;SMK;23;10;-13;0;0;NA;NA;1;NA;1994;0;0;1;0;1;1;0;0;1;0;0
97;97;DÈnes Sz·raz;MK;SMK;24;25;1;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
98;98;Imre Nagy;MK;SMK;27;51;24;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
99;99;G·bor Farkas;MK;SMK;31;58;27;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
100;100;Lajos Kele;MK;SMK;34;42;8;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
101;101;Gyula PopÈly;MK;SMK;41;37;-4;0;0;NA;NA;1;NA;1994;0;0;1;0;1;1;0;0;1;0;0
102;102;G·bor HulkÛ;MK;SMK;43;49;6;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
103;103;Mari·n Andel;SNS;SNS;1;3;2;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;1
104;104;Mel·nia Koll·rikov·;SNS;SNS;3;10;7;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;1
105;105;Viera Zacharov·;SNS;SNS;5;90;85;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;0
106;106;Vojtech éitÚan;SNS;SNS;6;28;22;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;0
107;107;Juraj KaûmÌr;SNS;SNS;10;128;118;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;0
108;108;Stanislav Luk·Ë;SNS;SNS;11;41;30;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;0
109;109;J·n Kiöö;SNS;SNS;25;73;48;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;0
110;110;Milan Denko;SNS;SNS;27;137;110;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;0
111;111;VladimÌr Kr·l;SNS;SNS;32;68;36;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;0
112;112;Jaroslav Volf;SV;SDK;2;20;18;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;1
113;113;Anton Juriö;SV;SDK;3;17;14;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;1
114;114;Brigita Schmˆgnerov·;SV;SDL;4;2;-2;0;0;NA;NA;1;NA;1994;0;0;1;0;1;1;0;0;1;0;1
115;115;VladimÌr FaiË;SV;SDL;11;19;8;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
116;116;Karol Jurica;SV;SDK;13;114;101;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
117;117;Peter Bohunick˝;SV;SDL;14;21;7;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
118;118;Miloö Macho;SV;SDK;15;77;62;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
119;119;Ladislav Ballek;SV;SDL;16;16;0;0;0;NA;NA;1;NA;1994;0;0;1;0;1;1;0;0;1;0;0
120;120;Jozef Klemens;SV;SDL;17;18;1;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
121;121;Helena Psotov·;SV;SDL;25;64;39;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
122;122;EmÌlia BizoÚov·;SV;SDL;30;48;18;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
123;123;J·n Weis;SV;SDL;37;56;19;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
124;124;J·n Mravec;SV;SDL;38;101;63;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
125;125;Tibor Matuöka;SV;SDL;40;31;-9;0;0;NA;NA;1;NA;1994;0;0;1;0;1;1;0;0;1;0;0
126;126;Jozef Jendruö·k;SV;SDL;43;104;61;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
127;127;Jaroslav Riha;SV;SDK;46;83;37;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
128;128;Miroslav KoËn·r;ZRS;NS;1;6;5;0;0;NA;NA;0;NA;1994;0;0;0;1;1;1;0;0;0;1;1
129;129;J·n Garai;ZRS;NASR;2;1;-1;0;0;NA;NA;1;NA;1994;0;0;0;1;1;1;0;0;0;1;1
130;130;Jozef Kalman;ZRS;HZDS;4;7;3;0;0;NA;NA;0;NA;1994;0;1;0;0;1;0;0;1;0;0;0
131;131;TerÈzia Chlebov·;ZRS;NASR;9;5;-4;0;0;NA;NA;1;NA;1994;0;0;0;1;1;1;0;0;0;1;1
132;132;Alexander Slafkovsk˝;DS;SDK;6;54;48;1;0;NA;NA;0;NA;1994;1;0;0;0;1;1;1;0;0;0;0
133;133;Michal Bucek;DS;SDK;10;61;51;1;0;NA;NA;0;NA;1994;1;0;0;0;1;1;1;0;0;0;0
134;134;Miroslav Toman;DS;SDK;36;90;54;1;0;NA;NA;0;NA;1994;1;0;0;0;1;1;1;0;0;0;0
135;135;ºubomÌr Harach;DU;SDK;2;15;13;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;1
136;136;ºudovÌt »ern·k;DU;SDK;3;4;1;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;1
137;137;Tibor äag·t;DU;SDK;4;25;21;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;1
138;138;Eva Rusn·kov·;DU;SDK;5;64;59;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;1
139;139;J·n œurana;DU;SDK;6;67;61;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
140;140;Milan Hudina;DU;MLHZP;11;5;-6;0;0;NA;NA;1;NA;1994;0;0;0;1;1;1;0;0;0;1;0
141;141;VladimÌr MeËiar;HZDS;HZDS;1;1;0;0;1;NA;NA;1;NA;1994;0;0;1;0;0;0;0;0;0;0;1
142;142;Duöan SlobodnÌk;HZDS;HZDS;3;39;36;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;1
143;143;Pavel Delinga;HZDS;HZDS;5;19;14;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;1
144;144;Karol Kon·rik;HZDS;HZDS;7;56;49;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;1
145;145;Viliam Horn·Ëek;HZDS;HZDS;8;54;46;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;1
146;146;J·n Smolec;HZDS;HZDS;10;81;71;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;1
147;147;ºudmila Muökov·;HZDS;HZDS;11;43;32;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;1
148;148;Tom·ö Cingel;HZDS;HZDS;16;75;59;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;1
149;149;Jozef TarË·k;HZDS;HZDS;17;62;45;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;1
150;150;M·ria BartoöÌkov·;HZDS;HZDS;18;47;29;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;1
151;151;Duöan Macuöka;HZDS;HZDS;19;63;44;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;1
152;152;Stanislav LÌöka;HZDS;HZDS;20;76;56;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;1
153;153;Karol Zahatlan;HZDS;HZDS;21;95;74;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;1
154;154;VladimÌr Mikulka;HZDS;HZDS;22;55;33;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;1
155;155;Stanislav Hus·r;HZDS;HZDS;23;41;18;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;1
156;156;Jaroslav Fidrik;HZDS;HZDS;24;73;49;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;1
157;157;Pavol ätevËek;HZDS;HZDS;26;36;10;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;0
